date,spill,forebay
2005-06-20 03:00:00,139.5,110.512484
2005-06-20 04:00:00,113.9,110.540184
2005-06-20 22:00:00,119.5,111.169514
2005-06-20 23:00:00,120.4,111.432326
2005-06-21 00:00:00,119.3,111.432326
2005-06-21 01:00:00,119.7,111.447368
2005-06-21 02:00:00,119.6,111.169514
2005-06-21 03:00:00,119.6,111.330698
2005-06-21 04:00:00,102.5,110.921053
2005-06-21 22:00:00,108.5,108.246073
2005-06-21 23:00:00,109.0,108.246073
2005-06-22 00:00:00,109.4,108.39895
2005-06-22 01:00:00,109.3,108.39895
2005-06-22 02:00:00,109.3,107.722513
2005-06-22 03:00:00,109.2,107.329843
2005-06-22 22:00:00,128.1,105.613577
2005-06-22 23:00:00,129.3,105.483029
2005-06-23 00:00:00,129.2,105.366492
2005-06-23 01:00:00,128.9,104.699739
2005-06-23 02:00:00,128.8,104.444444
2005-06-23 03:00:00,128.6,103.916449
2005-06-23 04:00:00,106.9,103.660131
2005-06-23 22:00:00,138.6,108.147175
2005-06-23 23:00:00,139.3,108.015769
2005-06-24 00:00:00,138.7,108.015769
2005-06-24 01:00:00,138.5,107.874016
2005-06-24 02:00:00,138.5,107.874016
2005-06-24 03:00:00,138.4,108.015769
2005-06-24 04:00:00,116.0,108.147175
2005-06-24 22:00:00,133.0,108.695652
2005-06-24 23:00:00,138.2,108.147175
2005-06-25 00:00:00,138.4,108.432148
2005-06-25 01:00:00,138.9,108.026316
2005-06-25 02:00:00,138.8,108.026316
2005-06-25 03:00:00,138.6,108.026316
2005-06-25 04:00:00,110.5,107.894737
2005-06-25 22:00:00,140.8,108.684211
2005-06-25 23:00:00,143.9,108.850727
2005-06-26 00:00:00,144.0,108.432148
2005-06-26 01:00:00,144.2,108.300395
2005-06-26 02:00:00,144.2,108.026316
2005-06-26 03:00:00,143.8,107.905138
2005-06-26 04:00:00,117.3,107.915567
2005-06-26 23:00:00,150.3,107.783641
2005-06-27 00:00:00,150.4,107.651715
2005-06-27 01:00:00,150.1,107.519789
2005-06-27 02:00:00,150.2,107.387863
2005-06-27 03:00:00,150.2,107.255937
2005-06-27 04:00:00,115.5,106.992084
2005-06-27 22:00:00,143.2,107.378129
2005-06-27 23:00:00,150.8,107.095926
2005-06-28 00:00:00,150.7,106.955381
2005-06-28 01:00:00,150.9,107.095926
2005-06-28 02:00:00,150.6,107.095926
2005-06-28 03:00:00,150.5,106.815203
2005-06-28 04:00:00,120.7,106.684142
2005-06-28 22:00:00,151.4,106.143791
2005-06-28 23:00:00,153.8,106.013072
2005-06-29 00:00:00,153.5,106.013072
2005-06-29 01:00:00,154.3,106.151832
2005-06-29 02:00:00,154.2,106.013072
2005-06-29 03:00:00,154.3,105.874674
