date,tailwater_tdg
2005-06-08 22:00:00,120.158
2005-06-08 23:00:00,120.4215
2005-06-09 00:00:00,120.0263
2005-06-09 01:00:00,120.158
2005-06-09 02:00:00,120.0263
2005-06-09 03:00:00,120.2631
2005-06-09 04:00:00,115.3946
2005-06-09 22:00:00,119.8683
2005-06-09 23:00:00,119.7368
2005-06-10 00:00:00,119.8683
2005-06-10 01:00:00,119.9999
2005-06-10 02:00:00,119.4736
2005-06-10 03:00:00,119.5794
2005-06-10 04:00:00,115.3744
2005-06-10 22:00:00,117.7631
2005-06-10 23:00:00,117.7631
2005-06-11 00:00:00,117.8947
2005-06-11 01:00:00,117.8947
2005-06-11 02:00:00,117.7631
2005-06-11 03:00:00,118.2894
2005-06-11 04:00:00,115.1315
2005-06-11 22:00:00,117.9554
2005-06-11 23:00:00,117.9554
2005-06-12 00:00:00,118.0864
2005-06-12 01:00:00,118.0864
2005-06-12 02:00:00,117.801
2005-06-12 03:00:00,117.9319
2005-06-12 04:00:00,115.0523
2005-06-12 22:00:00,120.1834
2005-06-12 23:00:00,120.4455
2005-06-13 00:00:00,120.1834
2005-06-13 01:00:00,120.2879
2005-06-13 02:00:00,120.4188
2005-06-13 03:00:00,120.2879
2005-06-13 04:00:00,114.9214
2005-06-13 22:00:00,120.3411
2005-06-13 23:00:00,120.2099
2005-06-14 00:00:00,120.2099
2005-06-14 01:00:00,120.2365
2005-06-14 02:00:00,120.3679
2005-06-14 03:00:00,120.2365
2005-06-14 04:00:00,115.3744
2005-06-14 22:00:00,120.6036
2005-06-14 23:00:00,120.6036
2005-06-15 00:00:00,120.3411
2005-06-15 01:00:00,120.4724
2005-06-15 02:00:00,120.7348
2005-06-15 03:00:00,120.9973
2005-06-15 04:00:00,115.0918
2005-06-15 22:00:00,121.0595
2005-06-15 23:00:00,120.7946
2005-06-16 00:00:00,120.6622
2005-06-16 01:00:00,120.8222
2005-06-16 02:00:00,120.7171
2005-06-16 03:00:00,120.7171
2005-06-16 04:00:00,115.405
2005-06-16 22:00:00,120.1591
2005-06-16 23:00:00,120.2917
2005-06-17 00:00:00,120.1858
2005-06-17 01:00:00,120.1591
2005-06-17 02:00:00,120.2917
2005-06-17 03:00:00,119.8938
2005-06-17 04:00:00,114.7409
2005-06-17 22:00:00,119.6829
2005-06-17 23:00:00,120.0792
2005-06-18 00:00:00,119.815
2005-06-18 01:00:00,119.815
2005-06-18 02:00:00,120.0792
2005-06-18 03:00:00,119.9471
2005-06-18 04:00:00,114.7756
2005-06-18 22:00:00,119.448
2005-06-18 23:00:00,120.105
2005-06-19 00:00:00,119.8422
2005-06-19 01:00:00,119.8422
2005-06-19 02:00:00,119.8422
2005-06-19 03:00:00,119.685
2005-06-19 04:00:00,114.586
2005-06-19 22:00:00,117.8477
2005-06-19 23:00:00,119.5537
2005-06-20 00:00:00,119.5537
2005-06-20 01:00:00,119.685
2005-06-20 02:00:00,119.7108
2005-06-20 03:00:00,119.9736
2005-06-20 04:00:00,114.7174
2005-06-20 22:00:00,117.8711
2005-06-20 23:00:00,117.3455
2005-06-21 00:00:00,117.3683
2005-06-21 01:00:00,117.3683
2005-06-21 02:00:00,117.2368
2005-06-21 03:00:00,117.1052
2005-06-21 04:00:00,114.7367
2005-06-21 22:00:00,116.4921
2005-06-21 23:00:00,116.7538
2005-06-22 00:00:00,116.6229
2005-06-22 01:00:00,116.6229
2005-06-22 02:00:00,116.7538
2005-06-22 03:00:00,116.6229
2005-06-22 22:00:00,118.1461
2005-06-22 23:00:00,117.7545
2005-06-23 00:00:00,118.0156
2005-06-23 01:00:00,118.1461
2005-06-23 02:00:00,118.1461
2005-06-23 03:00:00,117.7545
2005-06-23 04:00:00,114.4908
2005-06-23 22:00:00,119.8162
2005-06-23 23:00:00,119.5537
2005-06-24 00:00:00,119.5537
2005-06-24 01:00:00,119.5537
2005-06-24 02:00:00,119.4225
2005-06-24 03:00:00,119.5537
2005-06-24 04:00:00,115.0918
2005-06-24 22:00:00,119.342
2005-06-24 23:00:00,119.3166
2005-06-25 00:00:00,119.448
2005-06-25 01:00:00,120.3679
2005-06-25 02:00:00,119.8422
2005-06-25 03:00:00,119.3166
2005-06-25 04:00:00,114.9802
2005-06-25 22:00:00,119.9999
2005-06-25 23:00:00,119.9999
2005-06-26 00:00:00,120.2898
2005-06-26 01:00:00,119.4736
2005-06-26 02:00:00,119.342
2005-06-26 03:00:00,120.2631
2005-06-26 04:00:00,115.1315
2005-06-26 23:00:00,119.4993
2005-06-27 00:00:00,119.104
2005-06-27 01:00:00,119.2358
2005-06-27 02:00:00,119.3931
2005-06-27 03:00:00,119.4993
2005-06-27 04:00:00,114.7562
2005-06-27 22:00:00,119.4225
2005-06-27 23:00:00,119.16
2005-06-28 00:00:00,119.2913
2005-06-28 01:00:00,119.5537
2005-06-28 02:00:00,119.5537
2005-06-28 03:00:00,119.1349
2005-06-28 04:00:00,115.2031
2005-06-28 22:00:00,118.9294
2005-06-28 23:00:00,119.06
2005-06-29 00:00:00,119.4516
2005-06-29 01:00:00,119.1905
2005-06-29 02:00:00,119.06
2005-06-29 03:00:00,119.1905
2005-06-29 04:00:00,114.4908
2005-06-29 22:00:00,119.3716
2005-06-29 23:00:00,119.3716
2005-06-30 00:00:00,120.157
2005-06-30 01:00:00,119.5025
2005-06-30 02:00:00,120.0523
